ID,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
1,171903,2.061207823,-0.062056878,-1.064422469,0.420258022,-0.162746206,-1.222829321,0.174308085,-0.326565891,0.565089502,0.077892978,-0.760388658,0.356600532,-0.09723902,0.307788907,0.056908238,-0.100281053,-0.275693746,-0.852907311,0.143785331,-0.23455786,-0.290405975,-0.710630132,0.343072154,0.041945629,-0.305047144,0.195898311,-0.071800711,-0.060157445,1.98
2,171903,-3.043540624,-3.157307121,1.08846278,2.288643618,1.35980513,-1.064822523,0.325574266,-0.067793653,-0.270952836,-0.838586565,-0.414575448,-0.50314086,0.676501545,-1.692028933,2.000634839,0.666779696,0.599717414,1.725321007,0.28334483,2.102338793,0.661695925,0.435477209,1.375965743,-0.293803153,0.279798032,-0.145361715,-0.252773123,0.035764225,529
3,171903,2.009431962,0.019632921,-1.631413249,0.359890713,0.280494693,-0.687857507,0.018759055,-0.040825803,0.385680137,-0.179724571,1.11292912,0.318657515,-1.14034597,-0.419039124,-0.38900333,0.509830055,0.353143598,0.260969053,0.277705927,-0.211495693,-0.310389633,-0.88916672,0.359616005,0.640240725,-0.351684186,0.145742248,-0.07423188,-0.040283321,6.26
4,171905,-0.271081076,0.483073244,0.479362168,0.598772442,1.207989328,0.901478082,0.418947039,0.256168913,-0.459551994,-0.097742045,-0.302116995,0.210554365,0.076426511,0.276731078,-0.117519238,0.064110554,-0.813040364,1.011580416,1.15754646,0.160249855,0.181766719,0.48371662,-0.102496945,-0.375670247,-0.363292273,-0.545023373,0.218128888,0.199488215,42.9
5,171906,1.922057274,-0.860305697,-0.6283666,-0.901385745,-0.790687508,-0.302076769,-0.778470887,0.202876894,1.4830329,-0.210870164,0.865332373,0.212847286,-1.729779776,0.555420784,0.752553542,0.535527961,-0.600621858,0.358377375,0.481302772,-0.167020497,-0.117816356,-0.475653027,0.429948118,0.667160915,-0.750362801,0.285500231,-0.064189243,-0.045971159,47.5
6,171906,0.329594333,3.712889295,-5.775935108,6.078265506,1.667359013,-2.420168414,-0.812891249,0.133080118,-2.214311312,-5.134454471,4.560720106,-8.873748362,-0.7974836,-9.17716637,-0.257024775,-0.87168849,1.313013629,0.773913873,-2.370599451,0.269772776,0.156617169,-0.652450441,-0.551572219,-0.716521635,1.415716615,0.55526474,0.530507389,0.404474055,1
7,171908,1.627367262,-0.834602785,-3.314634163,-0.484414156,2.373311695,3.262491125,-0.263885914,0.78072753,0.852142083,-0.967842785,0.315130811,0.271482442,-0.343586115,-1.336571582,0.334155681,-0.019727843,1.116544071,0.000586424,-0.084625311,0.291679116,-0.138321348,-0.697889385,0.051496475,0.581922328,-0.101243082,-0.088463658,-0.023174898,0.009414607,206
8,171908,-0.164240146,-3.414359521,0.01210285,4.635242327,-1.089105733,3.748240535,-0.508656315,0.848919074,0.648649885,0.624213394,-0.33040046,1.252199076,0.476217459,-0.977859287,-2.268155875,0.328378698,0.00840177,-0.544191542,-2.117182981,1.553283077,0.747098684,0.599200583,-0.639007304,-1.564853243,-0.810179797,0.096464314,-0.04137426,0.117362252,937.74
9,171908,1.910019094,-0.09238234,-2.727244686,0.346449063,1.016804737,-1.2364731,1.227854359,-0.652973209,-0.090218786,-0.025072902,-0.703180833,0.688214169,0.764380016,0.721915465,-0.114748816,-1.063445879,-0.161318149,-0.629510165,0.035579592,0.061778523,0.369850585,1.029047179,-0.313122448,0.713703605,0.835196136,0.082958708,-0.095847363,-0.05659883,127.12
10,171908,1.760414259,-0.786533197,-1.46305004,0.205198114,-0.05943794,-0.340883682,0.130587528,-0.149108582,1.155592627,-0.283644793,-1.279372105,0.207580726,-0.476061846,0.199193608,-0.097705234,-0.409286167,-0.150744061,-0.515222701,0.366451605,0.081615517,-0.096577404,-0.428805022,0.085528686,0.422043396,-0.092653399,-0.115371001,-0.059573062,-0.026060738,162.84
